pic,sound,c1,c2,c3,c4,answerNum,answer,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.keys,intro.rt,Answer1.keys,Answer1.rt,EmpAnswer.keys,EmpAnswer.rt,EndKey.keys,EndKey.rt,date,frameRate,expName,session,participant,
eyes5.png,heart60_2.wav,irritated,sarcastic,worried,friendly,3,worried,60',0,12,12,12,,,2,7.72588419914,2,3.57053303719,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes10.png,heart60_2.wav,cautious,insisting,bored,aghast,1,cautious,60',0,13,13,13,,,2,0.717683076859,2,2.10235404968,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes20.png,heart60_2.wav,dominant,horrified,guilty,friendly,4,friendly,60',0,14,14,14,,,2,15.4673080444,2,0.702019929886,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes6.png,silence.wav,aghast,fantasizing,impatient,alarmed,2,fantasizing,Silence,0,15,15,15,,,2,0.550043821335,2,1.00124502182,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes18.png,heart120_1.wav,amused,decisive,aghast,bored,2,decisive,120',0,16,16,16,,,2,2.43286705017,2,1.16986393929,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes1.png,heart60_2.wav,playful,comforting,irritated,bored,1,playful,60',0,17,17,17,,,2,1.74906206131,2,1.03645682335,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes3.png,heart120_1.wav,joking,flustered,desire,convinced,3,desire,120',0,18,18,18,,,2,5.56199097633,2,0.886873006821,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes15.png,silence.wav,contemplative,flustered,encouraging,amused,1,contemplative,Silence,0,19,19,19,,,2,0.863373994827,2,0.718674898148,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes1.png,silence.wav,playful,comforting,irritated,bored,1,playful,Silence,0,20,20,20,,,2,0.684416055679,2,0.685197114944,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes3.png,heart60_2.wav,joking,flustered,desire,convinced,3,desire,60',0,21,21,21,,,2,1.51392412186,2,0.718968868256,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes5.png,silence.wav,irritated,sarcastic,worried,friendly,3,worried,Silence,0,22,22,22,,,2,0.718147039413,2,2.23570799828,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes6.png,heart120_1.wav,aghast,fantasizing,impatient,alarmed,2,fantasizing,120',0,23,23,23,,,2,2.27910900116,2,0.635360002518,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes7.png,heart120_1.wav,apologetic,friendly,uneasy,dispirited,3,uneasy,120',0,24,24,24,,,2,0.660764217377,2,0.819183111191,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes10.png,silence.wav,cautious,insisting,bored,aghast,1,cautious,Silence,0,25,25,25,,,2,15.7660160065,2,0.635375976562,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes15.png,heart120_1.wav,contemplative,flustered,encouraging,amused,1,contemplative,120',0,26,26,26,,,2,0.482824087143,2,0.734678983688,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes17.png,silence.wav,doubtful,affectionate,playful,aghast,1,doubtful,Silence,0,27,27,27,,,2,2.05140209198,2,0.852349042892,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes18.png,silence.wav,amused,decisive,aghast,bored,2,decisive,Silence,0,28,28,28,,,2,0.9648001194,2,0.769068956375,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes20.png,heart120_1.wav,dominant,horrified,guilty,friendly,4,friendly,120',0,29,29,29,,,2,2.00085115433,2,0.752346992493,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
,,,,,,,,,,,,,,,,,,,space,7.26524496078,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
